Country Name;Country Code;Last Update;Indicator Name;Indicator Code;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Armenia;ARM;2023-06-29;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1,17E+13;-4,18E+14;-8,8E+13;5,4E+14;6,9E+14;5,8654E+14;3,32108E+14;7,3E+14;3,3E+14;5,9E+14;9,6E+14;1,32E+14;1,4E+14;1,05E+14;1,39E+14;1,32E+14;1,37E+14;6,9E+14;-1,41E+14;2,2E+13;4,7E+14;7,2E+14;33;3,6E+14;3,2E+14;2E+14;7,5E+14;5,2E+14;7,6E+14;-7,2E+14;5,7E+14;126
American Samoa;ASM;2023-06-29;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,65517E+14;4,09836E+14;-4,08163E+14;-4,09836E+14;1,85185E+14;-2,65734E+14;-4,16667E+14;2,9985E+14;0;-4,33483E+14;-25;1,76282E+14;3,14961E+14;-1,67939E+14;-6,98758E+14;2,67112E+13;-4,87805E+14;5,06536E+14;-1,86625E+14;
Antigua and Barbuda;ATG;2023-06-29;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;;;;;;;;;;;;;;;;;;4,38363E+14;8,07975E+14;8,16143E+13;3,81492E+14;-8,40123E+14;5,36402E+13;1,0165E+14;7,64379E+14;1,14938E+14;6,62637E+14;5,21327E+14;5,25227E+14;3,01171E+14;2,17658E+14;1,15848E+14;5,27988E+14;6,67671E+14;-4,35959E+14;6,60446E+14;5,47161E+13;4,73113E+14;3,70762E+14;6,20343E+14;-4,548E+14;1,02744E+14;6,07654E+14;5,76703E+13;6,47383E+14;1,27081E+14;9,31538E+14;-1,43407E+14;-1,19627E+14;-7,84059E+14;-1,95861E+14;3,37287E+14;-6,00876E+14;3,79573E+14;3,82529E+14;5,49646E+14;3,14464E+13;6,82376E+14;4,34406E+14;-1,75022E+14;6,5549E+14;8,45873E+14
Australia;AUS;2023-06-29;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;2,48266E+14;1,29461E+14;6,21611E+14;6,98006E+14;5,98044E+14;2,37904E+13;6,30495E+14;5,09403E+14;7,04558E+14;7,17592E+14;4,00093E+13;3,91028E+14;2,61938E+14;4,10697E+14;1,33631E+14;2,58877E+14;3,59483E+14;8,9315E+14;4,05003E+14;3,03559E+14;3,33949E+14;3,32485E+14;-2,22454E+14;4,59174E+14;5,27824E+14;3,96627E+14;2,55926E+14;5,75734E+14;3,87543E+14;3,57649E+14;-3,83072E+14;4,2862E+13;4,04743E+14;3,98092E+14;3,88711E+14;3,85684E+14;3,91284E+14;4,61336E+14;4,95632E+14;3,90117E+14;2,04142E+14;3,99359E+14;3,1114E+13;4,21663E+14;3,15375E+14;2,74064E+14;3,77792E+14;3,56827E+13;1,87049E+14;2,20657E+14;2,39139E+13;3,90201E+12;2,57875E+14;2,57902E+14;2,15274E+13;2,73055E+14;2,28218E+14;2,88305E+14;2,1714E+13;-5,08853E+14;2,23621E+14;3,61759E+14
Austria;AUT;2023-06-29;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;5,53798E+14;2,64868E+14;4,13827E+14;6,12435E+14;3,48017E+14;5,64286E+14;3,00805E+13;4,47231E+14;6,27587E+14;6,32114E+14;5,11497E+14;6,20786E+13;4,89044E+14;3,94214E+14;-3,63735E+14;4,57845E+14;5,07998E+14;-2,10654E+14;5,3567E+14;1,73149E+14;-1,44295E+13;2,01125E+14;2,97309E+14;5,12748E+14;2,49868E+14;2,30139E+13;1,35717E+14;3,29588E+14;3,88707E+14;4,34564E+14;3,44163E+14;2,09352E+14;5,26809E+14;2,40212E+14;2,66798E+14;2,34953E+14;2,0936E+14;3,58143E+14;3,55633E+14;3,37572E+14;1,26717E+14;1,65155E+14;9,41471E+14;2,73512E+14;2,24407E+14;3,45404E+14;3,72742E+14;1,46042E+13;-3,76458E+14;1,83709E+14;2,9228E+14;6,80446E+14;2,55047E+14;6,61273E+14;1,0145E+14;1,98944E+14;2,25857E+14;2,42539E+14;1,51739E+14;-6,45397E+14;4,55685E+14;4,99694E+14
Azerbaijan;AZE;2023-06-29;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-7E+14;-2,26E+14;-2,31E+14;-1,97E+14;-1,18E+14;1,3E+14;5,8E+14;1E+15;7,4E+14;1,11E+14;9,9E+14;9,43892E+14;1,02083E+14;9,2538E+14;2,79615E+14;345;2,5E+14;1,0759E+14;9,29636E+14;5,04894E+14;1E+13;2,16524E+13;5,8098E+14;2,75051E+14;1,09398E+14;-3,1E+14;2E+14;1,5E+14;2,5E+14;-4,3E+14;5,61645E+14;4,61652E+14
Burundi;BDI;2023-06-29;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;-1,37461E+14;9,06316E+14;4,13541E+14;6,27304E+14;3,96723E+14;4,61299E+14;1,38215E+14;-2,97884E+14;-1,45954E+14;2,13257E+14;2,74683E+14;-6,40396E+14;6,88905E+14;-7,2684E+14;6,9792E+14;7,94266E+13;1,14695E+14;-9,40576E+14;1,66495E+14;9,91056E+14;1,21633E+14;-1,0536E+14;3,71533E+14;1,55544E+14;1,17832E+14;3,25018E+14;5,5031E+14;5,03102E+14;1,3495E+14;3,49982E+14;4,99684E+14;1,01E+14;-6,24E+14;-3,83E+14;-7,92E+14;-8E+14;-1,59E+14;4,75E+14;-1,01E+14;-8,56864E+14;2,05581E+14;4,44652E+14;-1,22373E+14;4,83366E+14;9E+14;5,41381E+14;3,45195E+14;4,86172E+14;3,81275E+14;5,12416E+14;4,0326E+14;4,44671E+14;4,92419E+14;4,24065E+14;-3,9E+13;-6,00001E+14;5,00001E+14;1,60994E+14;1,81257E+14;3,27157E+14;3,1E+14;1,849E+14
Belgium;BEL;2023-06-29;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;4,97842E+14;5,212E+14;4,35158E+14;6,95668E+14;3,56066E+14;3,15589E+14;3,86815E+14;4,19413E+14;6,6298E+14;5,58286E+14;3,98583E+14;5,2956E+14;6,3817E+14;4,56526E+14;-1,96594E+14;5,65275E+14;6,26155E+14;2,8419E+14;2,34107E+14;4,44405E+14;-2,79283E+14;5,94987E+14;3,11843E+14;2,46638E+14;1,65179E+13;1,82276E+14;2,30666E+14;4,72321E+14;3,46917E+14;3,1374E+14;1,83307E+14;1,53065E+14;-9,61873E+14;3,22697E+14;2,38476E+14;1,32145E+14;3,79366E+14;1,96181E+14;3,54274E+14;3,71668E+14;1,09962E+14;1,70688E+14;1,03798E+14;3,5712E+13;2,32174E+14;2,55235E+14;3,67688E+14;4,46929E+14;-2,02074E+14;2,86429E+14;1,69451E+14;7,39217E+14;4,59242E+14;1,57853E+14;2,04146E+14;1,26669E+14;1,61958E+13;1,79295E+14;2,26157E+14;-5,36259E+14;6,28593E+14;3,24784E+14
Benin;BEN;2023-06-29;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;3,14128E+14;-3,42641E+14;4,73003E+13;6,65076E+14;5,29386E+14;3,57586E+14;1,0784E+14;3,84234E+14;2,8775E+14;2,09776E+14;-1,49684E+13;6,42637E+13;3,70617E+14;3,33931E+14;-4,89535E+14;8,84356E+14;4,98366E+14;1,25508E+14;6,53575E+14;6,78176E+14;9,95423E+14;2,23507E+14;-4,34782E+14;7,92984E+14;7,53032E+14;2,17114E+14;-1,5E+14;3,40525E+14;-2,85416E+14;8,97613E+13;4,2258E+14;2,95771E+14;5,83617E+14;2,0204E+14;6,0452E+14;4,32428E+14;5,73469E+14;3,96101E+14;5,34145E+14;5,85771E+14;5,33314E+14;4,64303E+14;3,44358E+14;4,42968E+14;1,71316E+14;3,94374E+14;5,98635E+14;4,89658E+14;2,31929E+14;2,11406E+14;2,96375E+14;4,81122E+12;7,19143E+14;6,35768E+14;1,77815E+14;3,33967E+14;5,67156E+14;6,69726E+14;6,86569E+14;3,84879E+14;7,15545E+13;6,25324E+14
Burkina Faso;BFA;2023-06-29;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;4,04393E+14;6,1288E+14;-1,26802E+14;2,28282E+14;3,76455E+14;5,37613E+14;8,82331E+14;3,07077E+14;2,02608E+14;1,1702E+14;1,41334E+13;2,3115E+14;4,49327E+14;8,28643E+14;2,99838E+14;8,53489E+14;3,70354E+14;4,60782E+14;3,66462E+14;7,96879E+14;4,2553E+14;9,5622E+14;3,45985E+14;-1,7787E+14;8,51736E+14;7,95536E+13;-2,36337E+14;5,79559E+14;2,15027E+14;-6,02928E+14;9,06998E+14;2,32711E+14;3,46138E+14;1,31501E+14;5,71637E+14;1,10147E+13;6,31683E+14;7,30772E+14;7,39524E+14;1,88847E+14;6,61341E+14;4,35296E+14;7,80249E+14;4,47845E+14;8,66187E+14;6,25316E+14;4,11138E+14;5,79999E+14;2,96195E+14;8,44628E+14;6,62256E+14;6,45267E+14;5,79258E+14;4,32685E+14;3,92123E+13;5,95798E+14;6,20349E+14;6,60457E+14;5,68812E+14;1,93032E+14;6,90634E+14;1,4793E+14
